Sample,Method,MAPQ,Count,Percent
8038,lowinput_P100,26,665218,0.18475221822128216
8038,lowinput_P100,27,2365063,0.656853295435602
8038,lowinput_P100,28,425636,0.11821266886168692
8038,lowinput_P100,29,334803,0.0929854527645673
8038,lowinput_P100,30,794586,0.22068183071951705
8038,lowinput_P100,31,593045,0.16470747823276022
8038,lowinput_P100,32,248794,0.06909801505693725
8038,lowinput_P100,33,669209,0.18586064598920354
8038,lowinput_P100,34,346133,0.09613215449610062
8038,lowinput_P100,35,297533,0.08263438713930282
8038,lowinput_P100,36,425699,0.11823016596751981
8038,lowinput_P100,37,573256,0.15921144287836367
8038,lowinput_P100,38,412824,0.11465436854532285
8038,lowinput_P100,39,729265,0.20254010928920044
8038,lowinput_P100,40,10083803,2.8005931474440255
8038,lowinput_P100,41,477860,0.1327169364016336
8038,lowinput_P100,42,734371,0.20395820805718004
8038,lowinput_P100,43,819885,0.2277081685046946
8038,lowinput_P100,44,565529,0.15706540896136828
8038,lowinput_P100,45,1252631,0.3478955107389501
8038,lowinput_P100,46,782590,0.21735015958346468
8038,lowinput_P100,47,1190553,0.33065447366126915
8038,lowinput_P100,48,1309212,0.36360985589975203
8038,lowinput_P100,49,1196722,0.3323678013736989
8038,lowinput_P100,50,3116565,0.8655693276201338
8038,lowinput_P100,51,480073,0.13333155696049354
8038,lowinput_P100,52,675906,0.1877206161124232
8038,lowinput_P100,53,303925,0.08440964905174421
8038,lowinput_P100,54,418318,0.11618022726668598
8038,lowinput_P100,55,748765,0.2079558801422366
8038,lowinput_P100,56,125377,0.03482118473031351
8038,lowinput_P100,57,487388,0.13536316535997864
8038,lowinput_P100,58,136185,0.037822910442088624
8038,lowinput_P100,59,285490,0.07928966260683541
8038,lowinput_P100,60,219673291,61.01026700452967
8034,lowinput,0,44378517,18.4918116913307
8034,lowinput,1,443624,0.184850959975857
8034,lowinput,2,261346,0.10889865964386582
8034,lowinput,3,519708,0.21655393465442063
8034,lowinput,4,350636,0.1461043613557756
8034,lowinput,5,343871,0.1432854950540501
8034,lowinput,6,460053,0.1916966590846594
8034,lowinput,7,483218,0.20134914066329523
8034,lowinput,8,372484,0.15520807029296685
8034,lowinput,9,520607,0.21692853344307564
8034,lowinput,10,298789,0.12450055335199704
8034,lowinput,11,257392,0.10725109166795706
8034,lowinput,12,304722,0.12697273868357686
8034,lowinput,13,371870,0.15495222640394105
8034,lowinput,14,240383,0.10016371592131272
8034,lowinput,15,425129,0.17714439201570725
8034,lowinput,16,322363,0.13432345862869727
8034,lowinput,17,331739,0.13823028648456986
8034,lowinput,18,332591,0.13858530113188253
8034,lowinput,19,439594,0.1831717240267138
8034,lowinput,20,364718,0.1519721034490348
8034,lowinput,21,510586,0.21275294449856846
8034,lowinput,22,530153,0.22090619755486743
8034,lowinput,23,357956,0.14915448719888436
8034,lowinput,24,476410,0.19851235695566072
8034,lowinput,25,655368,0.27308126687793594
8034,lowinput,26,160156,0.06673442001761257
8034,lowinput,27,1084931,0.45207323512155906
8034,lowinput,28,221320,0.09222047152962119
8034,lowinput,29,185356,0.07723485324798691
8034,lowinput,30,271723,0.11322258804194497
8034,lowinput,31,287743,0.11989786345268295
8034,lowinput,32,185750,0.07739902668817611
8034,lowinput,33,375290,0.15637728519949184
8034,lowinput,34,181901,0.075795210517393935
8034,lowinput,35,172638,0.07193546793751465
8034,lowinput,36,219239,0.09135335242039862
8034,lowinput,37,289577,0.12066206164889352
8034,lowinput,38,144238,0.060101646360426086
8034,lowinput,39,406490,0.16937782157995535
8034,lowinput,40,3512457,1.463584135042105
8034,lowinput,41,459152,0.19132122692828768
8034,lowinput,42,363010,0.1512604074189761
8034,lowinput,43,703681,0.293212514126312
8034,lowinput,44,476271,0.19845443789935033
8034,lowinput,45,933805,0.38910147034483067
8034,lowinput,46,1066983,0.4445945932319258
8034,lowinput,47,600283,0.25012823654082594
8034,lowinput,48,2610221,1.0876369574214684
8034,lowinput,49,233134,0.0971431746321467
8034,lowinput,50,315182,0.1313312518418989
8034,lowinput,51,248649,0.10360802469441886
8034,lowinput,52,430069,0.1792028102759473
8034,lowinput,53,116976,0.04874201101413776
8034,lowinput,54,188430,0.07851573942854925
8034,lowinput,55,227819,0.09492849992502608
8034,lowinput,56,218427,0.09101500512741989
8034,lowinput,57,998270,0.41596299527324665
8034,lowinput,58,173601,0.07233673449310396
8034,lowinput,59,439812,0.1832625611078337
8034,lowinput,60,167133687,69.64190955911856
8035,lowinput,0,41257314,24.72517002372854
8035,lowinput,1,1942191,1.1639391428524735
8035,lowinput,2,1296583,0.7770315616008358
8035,lowinput,3,2028714,1.2157916673760782
8035,lowinput,4,1653847,0.991136947699343
8035,lowinput,5,1454226,0.8715057190326704
8035,lowinput,6,1747517,1.0472726107268162
8035,lowinput,7,1826049,1.0943361944662582
8035,lowinput,8,869840,0.5212879804400266
8035,lowinput,9,1836274,1.1004639531345182
8035,lowinput,10,1028920,0.6166233201903247
8035,lowinput,11,896863,0.5374826427864705
8035,lowinput,12,1082758,0.648887992188543
8035,lowinput,13,1232956,0.7389004221597228
8035,lowinput,14,711553,0.42642787908815666
8035,lowinput,15,1360144,0.8151231477830629
8035,lowinput,16,1125902,0.6747438376636931
8035,lowinput,17,969836,0.5812147634025034
8035,lowinput,18,1229292,0.7367046169997713
8035,lowinput,19,1392474,0.8344982517189891
8035,lowinput,20,716162,0.4291900150003337
8035,lowinput,21,1546972,0.9270876364357453
8035,lowinput,22,1006440,0.6031512404971722
8035,lowinput,23,835696,0.5008257611765479
8035,lowinput,24,1091105,0.6538902808539675
8035,lowinput,25,1172977,0.7029554992097409
8035,lowinput,26,450955,0.2702536342538078
8035,lowinput,27,1334757,0.7999089268235405
8035,lowinput,28,706370,0.42332174968203523
8035,lowinput,29,638045,0.38237513735843
8035,lowinput,30,877306,0.5257622930285086
8035,lowinput,31,956948,0.57349109066739
8035,lowinput,32,308700,0.18500137906032854
8035,lowinput,33,1130616,0.6775688992150063
8035,lowinput,34,495739,0.2970923182830846
8035,lowinput,35,457450,0.27414603450323066
8035,lowinput,36,619204,0.3710838805301966
8035,lowinput,37,715692,0.42890834785372417
8035,lowinput,38,287207,0.17212080037505598
8035,lowinput,39,926107,0.5550083322235947
8035,lowinput,40,5938056,3.558628276441394
8035,lowinput,41,973983,0.5837000265024813
8035,lowinput,42,1261086,0.7557585005302024
8035,lowinput,43,1371070,0.821671010004032
8035,lowinput,44,1308793,0.7843489144946699
8035,lowinput,45,1583554,0.9490109291107857
8035,lowinput,46,1359199,0.8145568170308374
8035,lowinput,47,1175444,0.7044339520835401
8035,lowinput,48,895708,0.5367904607559727
8035,lowinput,49,721191,0.43220385346905543
8035,lowinput,50,522451,0.3131006008793253
8035,lowinput,51,595962,0.35715514048445585
8035,lowinput,52,543889,0.3259482185155265
8035,lowinput,53,671040,0.4021487703422186
8035,lowinput,54,901266,0.5401213245875804
8035,lowinput,55,922860,0.553062431744784
8035,lowinput,56,878122,0.5262513151383668
8035,lowinput,57,962909,0.5770634690949203
8035,lowinput,58,939444,0.5630010869774904
8035,lowinput,59,892822,0.53506090461743006
8035,lowinput,60,59227071,35.49429806512469
8036,lowinput,0,45232202,18.84661207515193
8036,lowinput,1,472147,0.19672646826804407
8036,lowinput,2,282901,0.11787454881530102
8036,lowinput,3,552116,0.23004663961494917
8036,lowinput,4,377959,0.15748175720722923
8036,lowinput,5,371547,0.15481011021056357
8036,lowinput,6,491904,0.20495849099311006
8036,lowinput,7,512287,0.21345134513113811
8036,lowinput,8,399645,0.16651752401472944
8036,lowinput,9,551412,0.22975330844126662
8036,lowinput,10,321691,0.13403692981977086
8036,lowinput,11,272868,0.11369416292672545
8036,lowinput,12,320793,0.133662765907886
8036,lowinput,13,383131,0.15963674134115854
8036,lowinput,14,249603,0.10400048429643437
8036,lowinput,15,440457,0.18352239881633872
8036,lowinput,16,340442,0.14184978896426206
8036,lowinput,17,345930,0.14413643879546936
8036,lowinput,18,350392,0.14599559177412225
8036,lowinput,19,461880,0.19244858309730695
8036,lowinput,20,382744,0.15947549252835294
8036,lowinput,21,537487,0.22395126782545732
8036,lowinput,22,555812,0.2315866282767826
8036,lowinput,23,372287,0.15511844127380944
8036,lowinput,24,495166,0.2063176476529858
8036,lowinput,25,664580,0.27690629461073923
8036,lowinput,26,177407,0.07391903910440793
8036,lowinput,27,1085946,0.4524741686589333
8036,lowinput,28,242309,0.10096134000546755
8036,lowinput,29,203471,0.0847789591482466
8036,lowinput,30,292371,0.12182035309765031
8036,lowinput,31,309196,0.1288307181505043
8036,lowinput,32,201777,0.08407313101157293
8036,lowinput,33,398546,0.1660596107194494
8036,lowinput,34,197211,0.08217064501862605
8036,lowinput,35,186550,0.07772859438989048
8036,lowinput,36,237546,0.09897677128352142
8036,lowinput,37,306152,0.12756239415520634
8036,lowinput,38,157449,0.06560326699594675
8036,lowinput,39,420533,0.17522079327024287
8036,lowinput,40,3543883,1.4766070451472968
8036,lowinput,41,480378,0.20015602635125598
8036,lowinput,42,391641,0.16318254856848616
8036,lowinput,43,733000,0.3054144180530138
8036,lowinput,44,500355,0.20847971506809784
8036,lowinput,45,965025,0.4020907896065616
8036,lowinput,46,1086391,0.4526595839604798
8036,lowinput,47,644123,0.2683826073663866
8036,lowinput,48,2605258,1.0855161745538315
8036,lowinput,49,253635,0.10568047192752543
8036,lowinput,50,327524,0.13646732859262659
8036,lowinput,51,265494,0.11062168554784016
8036,lowinput,52,436173,0.18173741195830445
8036,lowinput,53,129485,0.05395168611404432
8036,lowinput,54,206590,0.08607853291346809
8036,lowinput,55,245660,0.10235757972565261
8036,lowinput,56,235224,0.09800927840668773
8036,lowinput,57,1007010,0.41958441080977543
8036,lowinput,58,194633,0.08109648626045324
8036,lowinput,59,459743,0.19155817298628472
8036,lowinput,60,165134695,68.8056163353164
8038,lowinput,0,44387080,18.484097905668072
8038,lowinput,1,540660,0.22514687547994824
8038,lowinput,2,305786,0.12733836878169544
8038,lowinput,3,589561,0.24551070368592784
8038,lowinput,4,392424,0.16341700414926794
